above,prep.在…上面
actually,adv.事实上
advertise,v.为…做广告
advice,n.建议
ahead,adv.在…前面
along,prep.沿着
amount,n.（数）量
assign,v.分配
attention,n.注意
attract,v.吸引
audience,n.观众
band,n.乐队
barely,adv.几乎不；仅仅
belief,n.信仰
bite,n.咬
boring,adj.无聊的
breakfast,n.早餐
cancel,v.取消
center,n.正中
climb,v.攀爬
coast,n.海岸
common,adj.常见的
competition,n.竞争
cool,adj.凉的
cost,v.价钱为
deal,n.协议
demonstrate,v.示范操作
desert,n.沙漠
different,adj.不同的
driveway,n.私人车道
drop,v.掉下
earthquake,n.地震
effective,adj.有效的
evidence,n.证据
examine,v.检查
false,adj.错误的
final,adj.最后的
further,adj.更远的
gain,v.增长
garbage,n.垃圾
gift,n.礼物
honesty,n.诚实；正直
hunger,n.饥饿
idiom,n.习语
imagine,v.想象
imply,v.暗示
importance,n.重要性
independent,adj.自立的
inside,n.里面
instrument,n.乐器
journey,n.旅行
knowledge,n.知识
list,n.列表，清单
magic,n.魔法；魔术
maintain,v.维持
major,adj.严重的；重要的
master,n.大师
mean,adj.刻薄的
memory,n.记忆
message,n.信息
neither,adv.都不
notice,v.注意到
otherwise,adv.在其他方面
own,v.拥有
physical,adj.身体的
predict,v.预测
prefer,v.较喜欢
president,n.总统
professor,n.教授
progress,n.进展；进步
proper,adj.合适的
prove,v.证明
puzzle,n.谜
quite,adv.相当
rather,adv.宁愿
react,v.作出反应的
respect,n.尊敬
rich,adj.富有的
ride,v.乘
rush,v.急促移动；匆忙行事
scan,v.仔细观察
schedule,n.计划
section,n.部分
share,v.分享
situated,adj.位于
skill,n.能力
society,n.社会
somehow,adv.以某种方式
specific,adj.明确的；具体的
stage,n.舞台
standard,n.标准
storm,n.暴风雨(雪)
strength,n.体力
suggest,v.建议
surface,n.表面
tour,n.旅游
trip,n.旅行；去一趟
value,n.价值
vote,v.投票支持
within,prep.在…里面
